,iv,treated,group_id_overall,outcome
245,1,1,253,0.226027
246,1,0,253,0.232877
247,1,0,253,0.189189
248,1,0,253,0.232767
249,1,0,253,0.247455
250,1,1,253,0.383747
251,1,0,253,0.246862
252,1,0,253,0.265171
253,0,0,253,0.276576
254,1,0,253,0.234094
255,1,0,253,0.358474
256,1,0,253,0.231722
257,1,0,253,0.295499
258,0,0,253,0.251046
259,1,0,253,0.277778
260,0,0,253,0.215947
261,1,0,253,0.237895
262,1,0,253,0.335888
263,1,0,253,0.270968
264,1,0,253,0.314642
265,1,1,253,0.254261
266,1,0,253,0.385176
267,1,0,253,0.192771
268,1,0,253,0.271658
269,1,0,253,0.255875
270,1,0,253,0.300763
271,1,1,253,0.278947
272,1,0,253,0.244444
273,1,1,253,0.245455
274,1,0,253,0.254302
275,1,1,253,0.21848
276,0,0,253,0.240234
277,0,0,253,0.275862
278,1,0,253,0.227723
279,1,0,253,0.253968
280,1,0,253,0.275641
281,1,0,253,0.258528
282,1,0,253,0.218919
283,1,1,253,0.319853
284,0,0,253,0.261484
285,1,0,253,0.226901
286,1,1,253,0.247582
287,1,1,253,0.309804
288,1,0,253,0.270567
289,1,0,253,0.212181
290,1,0,253,0.226306
291,1,1,253,0.257899
292,0,0,253,0.19899
293,0,0,253,0.328066
294,1,1,253,0.267382
295,1,0,253,0.269767
296,1,0,253,0.247286
297,1,0,253,0.261821
298,0,0,253,0.216927
299,1,0,253,0.244224
300,1,0,253,0.23348
301,1,0,253,0.233333
302,1,1,253,0.211189
303,1,0,253,0.204348
304,1,0,253,0.28744
305,0,0,253,0.292237
306,1,1,253,0.224076
307,1,0,253,0.18896
308,0,0,253,0.207407
309,1,1,253,0.480315
310,1,0,253,0.288032
311,1,0,253,0.2603
312,1,0,253,0.191919
313,1,1,253,0.252101
314,1,1,253,0.269565
315,1,0,253,0.248447
316,1,1,253,0.288388
317,1,0,253,0.220896
318,0,0,253,0.212121
319,1,0,253,0.129129
320,1,0,253,0.364602
321,1,1,253,0.187117
322,1,1,253,0.356557
323,1,0,253,0.276596
324,1,0,253,0.167702
325,0,0,253,0.304843
326,1,1,253,0.438163
327,0,0,254,0.133333
328,0,0,254,0.415094
329,1,1,254,0.183673
330,1,1,254,0.530864
331,0,0,255,0.415
332,1,1,255,0.42515
333,1,1,255,0.319142
334,1,0,255,0.218182
335,1,0,255,0.463376
336,1,1,255,0.384173
337,1,0,255,0.330645
338,1,0,255,0.272277
339,1,1,255,0.433508
340,1,1,255,0.329764
341,1,1,255,0.54321
342,1,1,255,0.290179
343,1,1,255,0.216543
344,0,0,255,0.101266
345,1,0,255,0.356371
346,1,1,255,0.267477
347,1,0,255,0.226463
348,1,1,255,0.271284
349,1,1,255,0.294643
350,1,1,255,0.308578
351,1,1,255,0.279412
352,1,1,255,0.255319
353,1,1,255,0.270028
354,1,0,255,0.271318
355,0,0,255,0.249123
356,1,1,255,0.344648
357,0,0,255,0.316104
358,1,0,255,0.413497
359,1,1,255,0.159091
360,1,0,255,0.228916
361,1,1,255,0.286754
362,1,1,255,0.325839
363,1,1,255,0.376147
364,1,0,255,0.320267
365,1,1,255,0.330097
366,1,0,255,0.449311
367,0,0,255,0.329218
368,1,1,255,0.223529
369,1,1,255,0.209945
370,1,1,255,0.308861
371,1,1,255,0.244152
372,1,1,255,0.299759
373,1,1,255,0.304688
374,1,1,255,0.317056
375,1,0,255,0.356612
376,1,1,255,0.28866
377,1,1,255,0.337931
378,1,1,255,0.30597
379,1,1,255,0.337564
380,1,1,255,0.425743
381,1,1,255,0.285494
382,1,1,255,0.173913
383,1,1,255,0.281973
384,1,1,255,0.316129
385,1,1,255,0.185185
386,1,1,255,0.470667
387,1,1,255,0.323232
388,1,1,255,0.396011
389,1,1,255,0.254545
390,1,1,255,0.265476
391,0,0,255,0.391239
392,1,0,255,0.244898
393,1,1,255,0.21645
394,1,0,255,0.354991
395,1,1,255,0.163265
396,1,0,255,0.276024
397,0,0,255,0.298701
